Name,Technology,Prop Type,AngelList,Crunchbase,Domain,HQ Address,City,State,Zip,# Founders,Founded,Years Active,# of Funding Rounds,Valuation Rank,Funding/Year Rank,Total Funding Rank,ARR Rank,CAFR Rank,Avg. Funding/Year,ARR/Funds Raised,Total Funding,Estimated ARR,CFRGR (Compound Funding Round Growth Rate),CAFR,Latest Valuation,Latest Valuation Year,Accelerator,Accelerator 2,Pre-Seed Date,Pre-Seed $,Seed Date,Seed $,Bridge Date,Bridge $,A Round Date,A Round $,B Round Date,B Round $,C Round Date,C Round $,D Round Date,D Round $,E Round Date,E Round $,F Round Date,F Round $,G Round Date,G Round $,H Round Date,H Round $,Unknown Series Date,Unknown Series $,Non-Dilutive Round Date,Non-Dilutive Round $,Exit Date,Exit $,Acquirer
Cosuno,,Industrial,https://angel.co/company/cosuno-gmbh,https://www.crunchbase.com/organization/cosuno,https://www.cosuno.de/en/,,Berlin,Germany,,3,2019,,,#N/A,#N/A,272,,,,,"$45,000,000 ",,,,,,,,,,,,,,27-May-21,"$15,000,000 ",9-Feb-22,"$30,000,000 ",,,,,,,,,,,,,,,,,,,
IndiQube,,Office,https://angel.co/company/indiqube-1,https://www.crunchbase.com/organization/indiqube,https://indiqube.com/,,Bengaluru,India,,2,2015,,,#N/A,#N/A,272,,,,,"$45,000,000 ",,,,,,,,,,,,,,18-Jun-18,"$15,000,000 ",6-Apr-22,"$30,000,000 ",,,,,,,,,,,,,,,,,,,
Redfin,,Residential,https://angel.co/company/redfin,https://www.crunchbase.com/organization/redfin,https://www.redfin.com/,1099 Stewart Street,Seattle,WA,98101,3,2004,21,4,#N/A,215,275,,,"$2,133,333 ",,"$44,800,000 ",,16.63%,2.97%,,,,,,,,,,,,,1-May-06,"$8,000,000 ",1-Jul-07,"$12,000,000 ",12-Nov-09,"$10,000,000 ",27-Oct-11,"$14,800,000.00 ",,,,,,,,,,,,,
Beyond Pricing,SaaS Dynamin Pricing Software,Vacation Rentals,https://angel.co/company/beyondpricing,https://www.crunchbase.com/organization/beyond-pricing,beyondpricing.com,"425 2nd St, Ste 606",San Fancisco,CA,94109,2,2013,12,2,#N/A,198,276,,,"$3,666,667 ",,"$44,000,000 ",,0.00%,0.00%,,,,,,,26-Mar-15,"$1,500,000 ",,," Sep 26, 2019","$42,500,000 ",,,,,,,,,,,,,,,,,,,,,
Foxen,,All,,https://www.crunchbase.com/organization/foxen,https://www.foxen.com/,,Columbus,OH,,,2017,,,#N/A,#N/A,276,,,,,"$44,000,000 ",,,,,,,,,,,,,,2-Jun-22,"$44,000,000 ",,,,,,,,,,,,,,,,,,,,,
Reggora,,All,,https://www.crunchbase.com/organization/reggora,https://www.reggora.com/,321 Summer Street,Boston,Massachusetts,,,2016,9,4,#N/A,177,278,,,"$4,875,000 ",,"$43,875,000 ",,141.98%,48.10%,,,,,1-Feb-17,"$875,000 ",12-Jan-19,"$3,000,000 ",,,12-Feb-20,"$10,000,000 ",12-Feb-20,"$30,000,000 ",,,,,,,,,,,,,,,,,,,
Qvantum,,"Residential, Commercial",,https://www.crunchbase.com/organization/qvantum-3e44,https://www.qvantum.com/,,Limhamn,Sweden,,,,,,#N/A,,,,,,,"$43,800,000 ",,,,,,,,,,,,,,2-Apr-22,,4-Jan-23,"$43,800,000 ",,,,,,,,,,,,,,,,,,,
Qventus,,Other,https://angel.co/company/qventus,https://www.crunchbase.com/organization/analyticsmd,https://qventus.com/,,Mountain View,CA,,3,2012,,,#N/A,#N/A,280,,,,,"$43,250,000 ",,,,,,,,,,1-Oct-15,"$250,000 ",,,16-Nov-16,"$13,000,000 ",11-Sep-18,"$30,000,000 ",,,,,,,,,,,,,,,,,,,
Euclid,Spatial Analytics,"Office, Retail, Industrial, Other",https://angel.co/company/euclid,https://www.crunchbase.com/organization/euclid#section-overview,https://geteuclid.com/,,,,,,,17-Jul-05,3,#N/A,218,281,,,21283.95062,,"$43,100,000 ",,51.08%,0.06%,,,,,,,,,,, 11/3/2011,"$5,800,000 "," Feb 21, 2013        ","$17,300,000 "," Jan 14, 2016        
","$20,000,000 ",,,,,,,,,,,,,,,,,
Briq,Construction Tech,All,https://angel.co/company/brickschain-construction-blockchain,https://www.crunchbase.com/organization/brickschain,https://www.br.iq/,511 Olive St,Santa Barbara,CA,93101,2,2018,7,3,#N/A,152,282,,,"$6,142,857 ",,"$43,000,000 ",,115.44%,38.95%,,,,,,,7-Oct-19,"$3,000,000 ",,,11-May-20,"$10,000,000 ",7-Jun-21,"$30,000,000 ",,,,,,,,,,,,,,,,,,,
